0.000000000000000000e+00,0.000000000000000000e+00
3.771520796977793744e+00,2.372119772676482136e-02
7.530067997979615235e+00,9.472534174159487341e-02
1.126272214254502657e+01,2.125350433344716794e-01
1.495667180544539576e+01,3.763578453753961828e-01
1.859926702585630665e+01,5.850909901006353664e-01
2.217807203334571753e+01,8.373280575233797984e-01
2.568091704118227270e+01,1.131367438205757470e+00
2.909594888163818993e+01,1.465222594091329045e+00
3.241168026313873440e+01,1.836634051299421477e+00
3.561703743527033339e+01,2.243083059275803759e+00
3.870140605477531182e+01,2.681806841527717644e+00
4.165467505369888812e+01,3.149815354392752731e+00
4.446727831977898404e+01,3.643909461946406303e+00
4.713023400893847992e+01,4.160700427285704883e+00
4.963518132031028074e+01,4.696630613077432237e+00
5.197441457554893418e+01,5.247995277467587982e+00
5.414091445620652365e+01,5.810965345249594627e+00
5.612837626562176752e+01,6.381611028615127523e+00
5.793123509503057278e+01,6.955926166892916207e+00
5.954468778739425971e+01,7.529853150443677201e+00
6.096471160669572953e+01,8.099308290346417749e+00
6.218807953510834352e+01,8.660207492701790244e+00
6.321237213543123801e+01,9.208492094307885623e+00
6.403598593144079132e+01,9.740154715144468511e+00
6.465813827426003968e+01,1.025126498254133622e+01
6.507886867842785250e+01,1.073799498210948400e+01
6.529903662698541211e+01,1.119664429148047446e+01
6.532031586051971317e+01,1.162366445462616760e+01
6.514518518064048180e+01,1.201568275701056621e+01
6.477691581374773477e+01,1.236952516504658561e+01
6.421955539610529229e+01,1.268223829727822860e+01
6.347790865609802324e+01,1.295111029936409963e+01
6.255751488405522309e+01,1.317369050027906674e+01
6.146462229410073519e+01,1.334780773315152658e+01
6.020615939608041600e+01,1.347158721078467458e+01
5.878970350865828465e+01,1.354346585313900775e+01
5.722344655710560346e+01,1.356220597184455379e+01
5.551615831107662302e+01,1.352690722512633670e+01
5.367714722871892263e+01,1.343701676532415590e+01
5.171621908375521315e+01,1.329233751042440126e+01
4.964363356165266339e+01,1.309303448065059783e+01
4.747005901962282337e+01,1.283963915113363363e+01
4.520652561293197635e+01,1.253305178195076230e+01
4.286437699681639657e+01,1.217454169733428238e+01
4.045522081915671464e+01,1.176574549655219215e+01
3.799087822394950109e+01,1.130866318980077700e+01
3.548333258949871549e+01,1.080565226336798723e+01
3.294467772811949402e+01,1.025941968927060799e+01
3.038706577599295500e+01,9.673011905483388517e+00
2.782265500262269242e+01,9.049802803706686660e+00
2.526355776912364703e+01,8.393479772307681941e+00
2.272178886332311265e+01,7.708027852562210569e+00
2.020921443737839951e+01,6.997712076566648953e+00
1.773750177033207720e+01,6.267058065129205602e+00
1.531807007374613150e+01,5.520830973535175268e+00
1.296204255330652444e+01,4.764012882262405491e+00
1.068019993309281901e+01,4.001778738452347106e+00
8.482935642094476592e+00,3.239470962173342183e+00
6.380212854561730040e+00,2.482572839202591197e+00
4.381523566941525338e+00,1.736680829160565098e+00
